PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,5/26/2023,6:36:22 PM,1,1,Luis Perez,luispe00scb,Right,Schaumburg boomers,Giovanni Garbella,giovga00nyb,Right,New york boulders,,1,Top,0,0,0,Fastball,,StrikeCalled,,,,,,,92.55621771,-1.295070366,-3.598344049,1997.095692,222.1421489,1:30,5.828553797,2.008313695,5.537645023,-20.40087107,12.79005708,9.817007204,1.74931735,0.284052206,84.94654114,-6.967891579,-3.839899757,0.414649572,,,,,,,,,,,,-6.287426616,7.198856645,-1.702692561,50,5.702765153,8.097138258,-134.326849,-3.770271853,-11.43082816,30.4455304,-19.08620009,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,1fea0e19-fc1e-11ed-b386-7faf6e2441b8,92.74226655,5.827842707,2.011819221,-1.287137266,-3.640342453,85.10210877,1.750304273,0.281255575,-6.952168207,-3.882396288,0.414511085,10.2063186,11.52358335,-13.81344014,9.879609402,1939.336287,-476.8290771,97.10782988,-0.720037515,-0.238761257,-0.651566603,,,,,,,,,,,,,,,,,0.993816599,1,,,high,high,81.10835154,-4.758158701,54.96235498,Blake Grant-parks,blakgr00scb,Schaumburg boomers
2,5/26/2023,6:36:33 PM,1,2,Luis Perez,luispe00scb,Right,Schaumburg boomers,Giovanni Garbella,giovga00nyb,Right,New york boulders,,1,Top,0,0,1,Fastball,,InPlay,,FlyBall,Out,1,0,,92.19511609,-1.44420348,-3.111950868,2120.520525,223.3845942,1:30,5.861594738,1.924451921,5.5490412,-20.22407569,13.21202734,10.93902966,2.010610124,0.212940034,84.64810993,-6.467408622,-4.692190974,0.416178221,84.14783752,25.63689009,-10.3252623,1496.161024,,,,308.329275,,-8.251731137,3.854396792,-6.75535919,7.475850867,-1.662422166,50,5.723388569,6.889579616,-133.8542805,-4.096443416,-12.18366217,30.48762636,-18.69094102,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,264b5ade-fc1e-11ed-848b-ade80a3dd6e0,92.37798794,5.860920248,1.928035989,-1.436617237,-3.155630571,84.80350116,2.01158575,0.209965761,-6.451759608,-4.737365849,0.416040777,11.34332087,11.91314717,-1.968010478,7.793528361,2119.26975,-72.8218752,99.94101564,-0.726330716,-0.034341509,-0.686486964,-13.59752987,74.63530045,36.40793413,-0.588606306,4.312696986,2.708961082,-44.25219555,305.1371577,4.381751941,37.92004654,0.772910148,0.943824622,0.238953987,-0.228245648,,,0.996417493,1,0.892367521,44.34961244,high,high,82.98582448,-4.813548347,54.9509588,Blake Grant-parks,blakgr00scb,Schaumburg boomers
3,5/26/2023,6:37:04 PM,2,1,Luis Perez,luispe00scb,Right,Schaumburg boomers,David Vinsky,davivi00nyb,Right,New york boulders,,1,Top,1,0,0,Fastball,,Foul,,,,,,,93.14797787,-1.192853084,-4.005610974,2252.70427,223.614065,1:30,5.824632674,1.937757897,5.808075422,-19.07046917,13.40814179,10.98327603,2.190258515,-0.404690884,85.78482341,-6.286870869,-4.943184372,0.410176,,,,,,,,,,,,-7.09640411,7.572297155,-1.615706799,50,5.715407667,9.089864927,-135.1800309,-3.474751878,-13.05521981,31.05933983,-18.24333168,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,38e8071e-fc1e-11ed-bbd9-1f4d35acb70c,93.33349359,5.824284296,1.94160246,-1.189234803,-4.052350315,85.94261678,2.190897305,-0.407797939,-6.276175557,-4.990699685,0.410040417,11.41435845,12.19054623,-12.31326557,11.57569295,2200.883569,-480.404044,97.69962254,-0.70734776,-0.213256596,-0.673929352,,,,,,,,,,,,,,,,,0.99739774,1,,,high,high,79.58187635,-4.095993729,54.69192458,Blake Grant-parks,blakgr00scb,Schaumburg boomers
4,5/26/2023,6:37:19 PM,2,2,Luis Perez,luispe00scb,Right,Schaumburg boomers,David Vinsky,davivi00nyb,Right,New york boulders,,1,Top,1,0,1,Fastball,,InPlay,,GroundBall,Out,1,0,,92.87917885,-1.152948512,-4.31323309,2041.530927,226.2436763,1:30,5.917744313,2.162769531,5.582124789,-20.70574124,12.24767184,10.83241463,2.006297252,0.555280486,86.64253882,-6.781198123,-4.331753782,0.413163287,83.00009672,-8.740592718,-17.68818344,2466.461281,33.19805865,-104.8708201,0.343186349,13.22506179,,-18.0945053,0.094900732,-7.04634864,6.878103272,-1.798841667,50,5.805125061,9.774686597,-134.6975051,-3.453613194,-12.88285119,30.58269946,-19.59880169,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,4221c3e1-fc1e-11ed-bd65-b75736b1d06b,93.06542696,5.916873134,2.166664957,-1.143295134,-4.3591361,86.79992925,2.007293153,0.552254854,-6.765308211,-4.377662526,0.413026014,11.25792942,10.9804634,-11.82609923,10.62115292,1998.197668,-418.3952755,97.87741353,-0.676913124,-0.204941924,-0.706956456,-24.92559018,78.15784429,-12.61278658,-0.6297187,1.82537357,2.005323718,-4.107509429,12.57102326,0.12435674,-0.398532857,-0.020241524,-0.981299458,-0.191782618,0.016456044,,,0.99213157,1,0.916458825,43.05006819,high,high,80.44096237,-4.146062763,54.91787521,Blake Grant-parks,blakgr00scb,Schaumburg boomers
5,5/26/2023,6:38:00 PM,3,1,Luis Perez,luispe00scb,Right,Schaumburg boomers,Tucker Nathans,tuckna00nyb,Left,New york boulders,,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,92.33472451,-0.893163498,-2.441476271,1806.642138,232.6827636,1:45,5.837837864,0.621033347,5.482091543,-23.19517768,10.16166037,11.176455,2.242713303,0.598074201,85.22141814,-6.487040802,-2.791035107,0.415684624,,,,,,,,,,,,-6.665517154,5.67058484,-0.414559902,50,5.74401815,5.318258787,-134.1490674,-2.926605234,-12.08035982,30.49436526,-21.89687173,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,5a671587-fc1e-11ed-8f6b-539d0baa29b4,92.51289542,5.836185313,0.624712241,-0.873866679,-2.485849626,85.36975703,2.244403508,0.595128131,-6.460640554,-2.836215959,0.415549558,11.58659428,8.770706585,-3.783035537,10.93309484,1802.70555,-119.199472,99.78210473,-0.604906736,-0.065978463,-0.793558242,,,,,,,,,,,,,,,,,0.966205654,1,,,high,high,80.16021464,-14.63347542,55.01790846,Blake Grant-parks,blakgr00scb,Schaumburg boomers
6,5/26/2023,6:38:12 PM,3,2,Luis Perez,luispe00scb,Right,Schaumburg boomers,Tucker Nathans,tuckna00nyb,Left,New york boulders,,1,Top,2,0,1,Changeup,,BallCalled,,,,,,,87.94115522,-2.81414565,-4.03822395,1787.86842,248.4796044,2:15,5.667709052,0.607284744,5.727466551,-29.39517263,7.182881921,13.0150636,-0.185369505,-1.66730083,81.56561548,-9.547615207,-4.991187338,0.435293141,,,,,,,,,,,,-8.159175848,4.674484746,-0.278314981,50,5.414554859,8.573518032,-127.4890253,-7.24647595,-13.37168289,27.24802739,-24.5132602,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,615dc30a-fc1e-11ed-8c20-fd370507375a,88.10061592,5.664586891,0.61196304,-2.777866051,-4.09330829,81.6942688,-0.182572263,-1.670955186,-9.504722682,-5.046756338,0.435162332,13.52499669,5.576889287,-12.14121815,36.97307486,1747.877711,-376.0279195,97.76321853,-0.358627166,-0.21032192,-0.909478557,,,,,,,,,,,,,,,,,0.99203231,1,,,high,high,56.72423263,-11.87126087,54.77253345,Blake Grant-parks,blakgr00scb,Schaumburg boomers
7,5/26/2023,6:38:28 PM,3,3,Luis Perez,luispe00scb,Right,Schaumburg boomers,Tucker Nathans,tuckna00nyb,Left,New york boulders,,1,Top,2,1,1,Fastball,,Foul,,,,,,,92.42227052,-1.989692367,-2.888461445,2328.015985,222.6483979,1:30,5.878521067,0.487586912,5.578501778,-18.79290513,14.30228345,11.45851503,1.855855198,-0.905472922,84.55157111,-6.052996742,-4.251177318,0.415042635,,,,,,,,,,,,-6.926054051,8.150279301,-0.246601584,50,5.694998474,6.368389706,-134.1750333,-5.342327774,-12.54526328,30.76689347,-17.41132916,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,6b37a197-fc1e-11ed-be70-7fb4e2149a78,92.60821401,5.87823394,0.491610967,-1.986929297,-2.936305666,84.71072892,1.85648982,-0.908726846,-6.042517929,-4.300448159,0.41490234,11.92363314,13.13031804,-7.018910389,86.39470515,2310.569542,-284.4763977,99.25058746,-0.730012949,-0.122196926,-0.67242026,,,,,,,,,,,,,,,,,0.99456449,1,,,high,high,12.24476536,-77.52721723,54.92149822,Blake Grant-parks,blakgr00scb,Schaumburg boomers
8,5/26/2023,6:38:49 PM,3,4,Luis Perez,luispe00scb,Right,Schaumburg boomers,Tucker Nathans,tuckna00nyb,Left,New york boulders,,1,Top,2,1,2,Fastball,,BallCalled,,,,,,,93.00899859,0.220984086,-2.186282934,2178.968547,220.0308645,1:15,5.90440006,0.516570684,5.766302447,-18.59605062,13.93321992,10.07157795,3.874422222,-0.908337425,84.78143619,-4.130655249,-4.777357983,0.410644686,,,,,,,,,,,,-6.043849884,7.276316325,-0.341874056,50,5.911314558,4.816713837,-135.2132499,-0.129513397,-11.10545307,31.53834198,-18.80396413,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,7748e207-fc1e-11ed-9eb4-ff1fa0ca82f4,93.19791757,5.904171336,0.520049991,0.223162995,-2.22935376,84.9442271,3.875010713,-0.911225064,-4.120818051,-4.821521706,0.410504844,10.49556694,12.76547445,-12.65967971,95.29359905,2125.99567,-477.5419776,97.56890125,-0.747083195,-0.219159647,-0.627563343,,,,,,,,,,,,,,,,,0.995323056,1,,,high,high,4.235760859,83.11705577,54.73369755,Blake Grant-parks,blakgr00scb,Schaumburg boomers
9,5/26/2023,6:39:05 PM,3,5,Luis Perez,luispe00scb,Right,Schaumburg boomers,Tucker Nathans,tuckna00nyb,Left,New york boulders,,1,Top,2,2,2,Slider,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,83.10141917,-0.849833866,-2.243917096,2397.980061,161.4705346,11:30,5.607027595,1.054720306,5.534811057,-36.06690701,4.848857636,-2.428704801,0.725152664,-0.937958838,77.17774168,-9.093249995,-6.467770001,0.460380434,,,,,,,,,,,,0.663830619,2.821024965,-0.858565214,50,5.509556076,4.811736627,-120.803962,-2.95432963,0.980114234,23.72650583,-28.00894083,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,80d661a3-fc1e-11ed-a8ae-3fbeccb03812,83.23953733,5.602606298,1.058367749,-0.796895027,-2.288587744,77.2913663,0.72897372,-0.940257329,-9.035458868,-6.502124378,0.460253053,-2.011175474,3.055081527,-85.3647732,78.95913903,193.7849389,-2390.137186,8.081173905,-0.076622487,-0.996729383,0.025681349,,,,,,,,,,,,,,,,,0.992723994,1,,,high,high,18.93677487,76.9171297,54.96518894,Blake Grant-parks,blakgr00scb,Schaumburg boomers
10,5/26/2023,6:41:36 PM,1,1,Ryan Munoz,ryanmu00nyb,Left,New york boulders,Chase Dawson,chasda00scb,Left,Schaumburg boomers,,1,Bottom,0,0,0,Fastball,,BallCalled,,,,,,,82.73808054,0.733444127,2.274625323,1897.236943,139.1775804,10:45,5.848746837,-2.101482005,5.468978906,-28.39996988,12.08068365,-8.277231883,3.309436018,0.351453064,76.34379988,-5.954902433,-1.382431996,0.463951673,,,,,,,,,,,,5.229039736,6.432607171,1.907410175,50,5.893670848,-4.498707419,-120.2227202,0.602799872,7.611121002,24.50014579,-22.8110778,Schaumburg Boomers,New York Boulders,boo01,Independent,Frontier,fc8591f2-9a0a-4b2f-be5b-e96351a41b62,dae81edc-fc1e-11ed-87a3-7d713381a019,82.91732014,5.846826669,-2.105502332,0.755374317,2.322646932,76.49070374,3.311644621,0.354633272,-5.92118897,-1.334360194,0.463784537,-8.733411225,10.37383628,35.68598296,63.38008155,1540.985665,1106.738994,81.22262589,-0.614643544,0.583342527,0.530965921,,,,,,,,,,,,,,,,,0.992606755,1,,,high,high,32.95792661,13.46463391,55.03102109,Joe Deluca,joe-de00nyb,New york boulders
